1945	Raaka Chocolate, Inc.	Booth: N1414	['Brooklyn,', 'NY', 'United States']	Raaka Chocolate is devoted to making uncommonly delicious chocolate that captures the brighter, bolder and fruitier side of cacao. That's why we make every bar from scratch with unroasted cacao beans, sourced directly from growers we trust and admire. The unique flavor of our unroasted chocolate is part place, part process. We craft our bars in celebration of each cacao origin's unique character at our factory in Red Hook, Brooklyn.	Brands: Raaka Chocolate	['Special Attributes', 'Candy']	[['Cocoa', 'Dairy Free', 'Full Line Organic', 'Gluten/Wheat Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan', 'Organic Food & Bev'], ['chocolate bars & candy']]
1946	raan, wet wipes and supplements	Booth: 2771	['Dover,', 'DE', 'United States']	N/A	N/A	[]	[]
1947	Radicle Science	Booth: 3145	['Del Mar,', 'CA', 'United States']	N/A	N/A	[]	[]
1948	Raised Gluten Free	Booth: N1209	['Bayside,', 'CA', 'United States']	Inspired by a child with celiac disease and personal dietary restrictions, Raised Gluten Free is a woman-owned, wholesale specialty bakery that creates the ultimate, allergy-friendly comfort food: sweet and savory pies!   Unique in that they’re both vegan and certified gluten free, each artisan offering is crafted in small batches at a dedicated gluten-free facility using a simple pie press and high-quality, meticulously sourced ingredients. The indulgent lineup, which includes fresh fruit bakery pies, frozen specialty pies like a lemon tart and chocolate silk, along with a savory vegan quiche and vegetable pot pie, is also kosher, Non-GMO Project Verified, and free of dairy, eggs, nuts, and peanuts.   On a mission to bring happiness through food, Raised Gluten Free’s offerings can be found in the refrigerated or frozen section of the bakery at most Whole Foods Markets, Kroger stores nationwide, plus select natural food stores across the country.	N/A	['Frozen', 'Special Attributes', 'Bakery', 'Baking & Cooking Ingredients']	[['Frozen Desserts'], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Vegan'], ['Pies & Tarts'], ['Baking & Cooking Mixes']]
1949	RAMBLER	Booth: 4969	['AUSTIN,', 'TX', 'United States']	N/A	N/A	['Special Attributes']	[['Canned', 'Functional Beverage', 'Gluten/Wheat Free', 'Salt-Free']]
1950	RangeMe	Booth: 2654	['Solon,', 'OH', 'United States']	N/A	N/A	['Services']	[['Internet Services']]
1951	Rasa	Booth: F36	['Boulder,', 'CO', 'United States']	N/A	N/A	[]	[]
1952	RAW FARM	Booth: 5595	['Fresno,', 'CA', 'United States']	RAW FARM’s raw dairy products are simply that- products made from milk that is unprocessed, whole, and living, with all of its probiotic bacteria. NEVER pasteurized (heated), homogenized (crushed), or otherwise altered. We produce delicious world-class dairy products for you to enjoy.  Our artisan Raw Cheddar and Raw Pet Food are proudly sold in over 1000 store locations throughout the USA. Our raw dairy fluid products are sold in over 800 CA store and market locations.	Brands: RAW FARM	['Dairy & Eggs', 'Pet', 'Raw Ingredients', 'Special Attributes']	[['Butter', 'Cheese', 'Cream', 'Milk'], ['Pet Care'], ['Other'], ['Kosher/Parve', 'Organic Ingredients']]
1953	RAWGA Inc.	Booth: 1705	['Seongnam-si,', 'Korea, Republic of']	N/A	N/A	['Herbs & Functional Foods', 'Raw Ingredients', 'Supplements']	[['Herbs & Functional Foods'], ['Proteins/Amino Acids', 'Specialty Peptides'], ['Amino Acids', 'Antioxidants', 'Collagen', 'Hair, Skin & Nail Supplements']]
1954	REBBL, Humm Kombucha, Chameleon	Booth: 5689	['Emeryville,', 'CA', 'United States']	REBBL beverages (Roots, Extracts, Berries, Botanicals, Love) are made with real organic ingredients. Every bottle of organic REBBL is packed with deliciously satisfying, nutrient-dense plant-based ingredients to nourish your mind, body, and spirit. We ethically source our ingredients supporting the communities that grow them, and use 100% recycled plastic bottles. Good for you, great for others, better for the world.	N/A	['Special Attributes']	[['Dairy Free', 'Functional Beverage', 'Organic Food & Bev', 'Organic Ingredients']]
1955	Red Oak Commodities	Booth: 1625	['Wayzata,', 'MN', 'United States']	DFI Organics is one of the leading importers and exporters of organic food and feed ingredients. Not only does DFI Organics trade organic food and feed ingredients, the company also processes and stores all kinds of ingredients. You are invited to have a look at our list of products and services and you will see that DFI Organics is your one-stop-shopping partner providing a solution to all your needs.	N/A	['Pet', 'Raw Ingredients', 'Special Attributes']	[['Pet Care'], ['Other'], ['Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged']]
1956	Red River Foods	Booth: 1859	['Richmond,', 'VA', 'United States']	N/A	N/A	['Baking & Cooking Ingredients', 'Dried Beans, Rice & Grains', 'Raw Ingredients', 'Snacks']	[['Flours, Meals'], ['Dried Grains'], ['Fruits & Vegetables'], ['Dried Fruit', 'Fruit Snacks', 'Nuts & Seeds', 'Other Snacks', 'Trail Mix & Snack Mixes', 'Vegetable Snacks']]
1957	RedBud	Booth: 5648	['Los Angeles,', 'CA', 'United States']	N/A	N/A	['Cosmetics Personal Care', 'Special Attributes']	[['Bath & Body', 'Feminine & Sexual Care', 'Hair Removal & Shaving'], ['Cruelty-Free', 'Organic Ingredients']]
