0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
1427	Marich Confectionery	Booth: N1619	['Hollister,', 'CA', 'United States']	We are MARICH® and candy making is in our DNA. Staying true to ourselves, the environment we live in and our heritage, we use an array of amazingly good, ingredients to craft an incredibly cravable taste experience. In the end our message is simple: Real people, real and simple ingredients, amazing ideas creating amazingly cravable Pancrafted products that you can feel good about. 	Brands: Marich Pancrafted Chocolates	[]	[]
1428	Marimix Company, Inc.	Booth: N742	['Orange,', 'CA', 'United States']	A celebration of comfort-food nostalgia and whole grain nutrition, Marimix Crunch-Baked Snackmix features a gluten-free medley of puffs, pillows, pretzels and toasted quinoa, all hugged in a delicate glaze and tumbled in vibrant, globally-inspired seasonings. Available in six sweet and savory flavors, every batch of Marimix is plant-based, transfats free and a good source of fiber. All flavors proudly crafted with no high fructose corn syrup, no sugar alcohols and zero artificial ingredients.	Brands: Marimix Crunch-Baked Snackmix	['Special Attributes', 'Snacks']	[['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Specialty/Gourmet', 'Trans Fat Free', 'Convenience', 'Ethnic/Multicultural', 'Food Service Ready', 'Kids'], ['Other Snacks', 'Popcorn & Puffs', 'Pretzels', 'Trail Mix & Snack Mixes']]
1429	MARIN FOOD USA Inc.	Booth: N1812	['Tokyo,', 'Japan']	We export our products to the US, Taiwan, Hong Kong and Singapore and so on. Smoked butter won the gold medal at the 2022 World Championship Cheese Contest. Petit cheese is a snack cheese unique to Japan and been highly valued at exhibitions in various countries, including the US. We have a product inventory of these products in our warehouse in Los Angeles. We are increasing the number of deliveries to retail wholesalers in California and Texas.	Brands: We mainly process and sell cheese, butter, and pancakes. It has a history of over 60 years. We deliver to schools, hotels, restaurants and retailers. We have sales of $215 million, over 600 employees, four factories and seven sales offices.	['Dairy & Eggs', 'Special Attributes']	[['Butter', 'Cheese'], ['Allergy Free', 'Convenience', 'Dairy Free', 'Gluten/Wheat Free', 'Vegan']]
1430	Marina Del Rey Foods, Frankie's Organic Foods	Booth: 5546	['Laval,', 'QC', 'Canada']	N/A	N/A	['Frozen', 'Meat & Seafood']	[['Frozen Entrées'], ['Fish & Seafood']]
1431	Maroon Sausage Company	Booth: 8105	['Brooklyn,', 'NY', 'United States']	N/A	N/A	['Meat & Seafood', 'Special Attributes']	[['Sausage'], ['Dairy Free', 'Egg Free', 'Ethnic', 'Ethnic/Multicultural', 'Food Service Ready', 'Gluten/Wheat Free', 'Specialty/Gourmet']]
1432	Marroquin Organic International	Booth: 1935	['Santa Cruz,', 'CA', 'United States']	 Marroquin Organic International. Specialists in organic and non-GMO ingredients for 25 years. Supplying starches, sweeteners, yeast, glycerin,  plant proteins, maltodextrin, dextrose, milk powders, lecithin and oils. Serving food, beverage, nutraceutical, pet and cosmetic industries. We speak Organic!	N/A	['Raw Ingredients', 'Special Attributes', 'Bakery', 'Baking & Cooking Ingredients', 'Beverages', 'Condiments & Sauces', 'Dairy Alternatives', 'Meat Alternatives', 'Snacks', 'Soups & Canned Goods']	[['Other', 'Starch & Dextrin'], ['Gluten/Wheat Free', 'Organic Dairy', 'Organic Ingredients', 'Allergy Free'], ['Bagels', 'Bread', 'Buns', 'Cakes', 'Cookies', 'Dessert Bars', 'Donuts', 'Flatbread', 'Muffins', 'Pastries & Scones', 'Pie Crusts & Pastry Sheets', 'Pizza Crusts', 'Rolls', 'Tortillas & Wraps'], ['Baking Powder, Baking Soda & Yeast', 'Cooking Starches'], ['Protein Shakes (ready-to-drink)', 'Sports & Energy Drinks'], ['Condiments & Sauces', 'Jams & Fruit Spreads', 'Marinades & Sauces', 'Salad Dressings'], ['Plant-based Cheese', 'Plant-based Yogurt'], ['Plant-based Meat'], ['Cereal & Granola Bars', 'Chips', 'Crackers', 'Energy & Nutrition Bars', 'Fruit Snacks', 'Nuts & Seeds', 'Popcorn & Puffs'], ['Bouillon', 'Broth & Stocks']]
1433	MARTINOROSSI	Booth: N1929	['Malagnino,', 'Not required for this country', 'Italy']	MartinoRossi America, Inc. is the U.S. subsidiary of MartinoRossi S.p.A., an italian company with an history that spans for over 50 years. We produce and supply gluten-free, allergen-free and GMO-free flours, semi-finished products and functional ingredients derived from cereals and pulses, both conventional and organic. We are the supplier of choice for the world’s best-known food companies. MartinoRossi America Inc. has its headquarters in New York City and an operations unit in Chicago.	Brands: MartinoRossi	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Organic Ingredients', 'Vegan']]
1434	Martins Family Fruit Farm	Booth: 1992	['Waterloo,', 'ON', 'Canada']	N/A	N/A	['Fresh Fruit & Vegetables', 'Snacks']	[['Pre-Packaged Fruit & Vegetables'], ['Dried Fruit', 'Other Snacks']]
1435	Marukan Vinegar U.S.A., Inc.	Booth: 1572	['Paramount,', 'CA', 'United States']	Brewing since 1649; we deliver Quality, Flavor, Versatility! Kosher & Organic Vinegars; Marinades, Dressings. Offer your customers that all-important Marukan Difference; ensuring quick & easy sell-through turns to your stores!	Brands: Marukan Vinegar	['Special Attributes']	[['Ethnic', 'Gluten/Wheat Free', 'Organic Processed/Packaged', 'Specialty/Gourmet']]
1436	Marukome USA, Inc.	Booth: 448, 691	['Irvine,', 'CA', 'United States']	As Japan’s #1 miso company, Marukome is committed to spreading a healthy living message to the world with traditional Japanese food. We have been making high quality miso products for a century and a half, which is just as long as miso has been a staple of the Japanese diet.	N/A	['Special Attributes']	[['Food Service Ready', 'Kosher/Parve', 'Organic Processed/Packaged', 'Soy Foods']]
1437	MaryRuth’s	Booth: 3773	['Los Angeles,', 'CA', 'United States']	N/A	N/A	['Special Attributes', 'Supplements', 'Vitamins & Minerals']	[['Gluten/Wheat Free', 'Organic Ingredients', 'Vegan', 'Kids'], ['Amino Acids', 'Antioxidants', 'Collagen', 'Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion'], ["Children's Vitamins", 'Minerals', 'Multivitamins', 'Vitamins']]
1438	Mary's Gone Crackers	Booth: 5431	['Reno,', 'NV', 'United States']	Mary’s Gone Crackers offers three unique crackers to satisfy your snacking needs. Our ORIGINAL, SUPER SEED and REAL THIN CRACKERS are always Organic, Gluten-free, Non-GMO and deliciously crunchy! Snack Happy, Live Happy! TM	Brands: Mary's Legacy Crackers Mary's Super Seed Crackers Mary's Real Thin Crackers Mary's Gone Kookies Graham-style Snacks Mary's Gone Cheezee Plant-Based Crackers	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Specialty/Gourmet', 'Vegan']]
1439	Masked Owl Technologies	Booth: 2899C	['Dover,', 'DE', 'United States']	N/A	N/A	[]	[]
1440	Mason Dixie Foods	Booth: 4973	['Baltimore,', 'MD', 'United States']	Natural, Ready to Heat, Breakfast & Frozen Bread.  At Mason Dixie Foods, we make life delicious with good, clean, comfort food for all. We believe in doing better with less. We take the most simple and pure ingredients that get back to the basics of scratch-made food and freeze the goodness right in. When it comes to the ingredients in our products, if the standard doesn’t exist, we set it. We’re making a better way to do delicious.  Certified Woman-Owned Business Available in over 4,500+ Grocers	Brands: Mason Dixie Foods	['Bakery', 'Frozen', 'Special Attributes']	[['Bagels'], ['Frozen Breads & Dough', 'Frozen Entrées', 'Frozen Desserts'], ['Food Service Ready']]
1441	Mason Vitamins	Booth: 3405	['Miami Lakes,', 'FL', 'United States']	Mason Natural offers over 450 unique vitamin, mineral and condition specific formulations at every day, affordable prices.  For over 50 years, our goal has been to address today’s primary health concerns.  Every Mason product is manufactured following established CGMP guidelines and are produced in an FDA Registered, OTC Drug facility.  Mason Vitamins has 100% Private Label capability.  We are UL, SMETA Certified and cGMP compliant.	Brands: Mason Natural and private label	['Supplements', 'Vitamins & Minerals']	[['Amino Acids', 'Antioxidants', 'Collagen', 'Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion', 'Superfood & Greens Blends'], ["Children's Vitamins", 'Minerals', 'Multivitamins', 'Vitamins']]
1442	Massa Pizza Company	Booth: 2082	['Franklin Park,', 'IL', 'United States']	N/A	N/A	[]	[]
1443	MASTER SWEETENER	Booth: 1548	['KARACHI,', 'Pakistan']	Master Sweetener is part of one of the renowned and trustworthy business group in Pakistan. State of the Art manufacturing facility has been installed in the port city of Karachi Pakistan in 2019, having capacity of producing organic rice syrups 54,000 tons annually with a continuous production capability.  Master Sweetener complies with all International quality standards certifications to satisfy our customers Halal, Kosher, HACCP, ISO 9001:2015, ISO 22000:2018, GMP, USDA ORGANIC.	Brands: ORGANIC BROWN RICE SYRUP ORGANIC CLARIFIED RICE SYRUP ORGANIC RICE SYRUP SOLIDS ORGANIC MALTODEXTRIN	['Raw Ingredients', 'Special Attributes']	[['Starch & Dextrin'], ['Allergy Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients', 'Vegan']]
1444	MatchaKo	Booth: N2248	['Huntington Station,', 'NY', 'United States']	N/A	N/A	['Beverages']	[['Sports & Energy Drinks', 'Tea & Infusions']]
1445	Matco Foods Limited	Booth: 1481	['Karachi,', 'Sindh', 'Pakistan']	Matco Foods Limited is a leading manufacturer and distributor of Basmati Rice, Organic White & Brown Rice, Long Grain Rice, Flours, Sweeteners, Rice Starches, Native Rice Starch, Modified Pregelatinized Rice Starch, Modified Acetylated Rice Starch (E1420) & Proteins based out of Pakistan. We specialize in Rice and Corn ingredient derivatives. Our products include Organic & Conventional Basmati Rice, Long Grain Rice, Rice Syrup & Corn Starch. Our Aim to produce premium quality food products.	Brands: Basmati Rice, Organic Brown & White Rice, Long Grain Rice, Flours, Sweeteners, Rice Starches, Native Rice Starch, Modified Pregelatinized Rice Starch, Proteins, Corn, Corn Starches, Rice Syrup, Maltodextrin, Corn and Rice Ingredients and derivatives.	['Raw Ingredients', 'Special Attributes', 'Baking & Cooking Ingredients', 'Breakfast', 'Condiments & Sauces', 'Dried Beans, Rice & Grains', 'Herbs & Functional Foods', 'Seasonings & Spices', 'Soups & Canned Goods']	[['Derivatives', 'Starch & Dextrin', 'Proteins/Amino Acids'], ['Organic Ingredients', 'Kosher/Parve', 'Packaged Grains/Cereal'], ['Baking & Cooking Mixes', 'Cooking Starches', 'Flours, Meals', 'Honey & Syrups', 'Sugar Substitutes & Sweeteners'], ['Cereal'], ['Condiments & Sauces', 'Salad Dressings', 'Salad Toppings'], ['Rice'], ['Herbs & Functional Foods'], ['Dry Seasoning Mixes & Blends', 'Herbs & Spices', 'Pepper', 'Salt'], ['Soup Mixes']]
1446	MATEINA	Booth: 1429	['Saint-Eustache,', 'QC', 'Canada']	N/A	N/A	[]	[]
1447	Mateks Food Industry Inc.	Booth: 2699B	['IZMIR,', 'Türkiye']	N/A	N/A	['Candy', 'Snacks']	[['Candied & Chocolate Covered Snacks'], ['Dried Fruit', 'Fruit Snacks', 'Other Snacks', 'Trail Mix & Snack Mixes']]
1448	Matter	Booth: 3049	['Minnetrista,', 'MN', 'United States']	Matter®  provides a comprehensive assortment of compostable everyday products to the retail market. Items include disposable tableware, food storage bags and containers as well as food scrap or waste bags. Matter®  items are manufactured using proprietary technology from NatureStar® , the parent company of the brand. NatureStar® biopolymer and biofiber  have the performance attributes of traditional products but compost in just a matter of months.	Brands: Matter®	['Packaging', 'Home', 'Special Attributes']	[['Biodegradable Packaging', 'Other', 'Paper Products'], ['Kitchen & Dining', 'Miscellaneous'], ['Sustainability']]
1449	Mavens Creamery, LLC	Booth: N2140	['San Jose,', 'CA', 'United States']	N/A	N/A	[]	[]
1450	Mavuno Harvest	Booth: N735	['Philadelphia,', 'PA', 'United States']	 Organic, Fair Trade dried fruit sourced from family farms in Africa. 	Brands: Mavuno Harvest	['Special Attributes', 'Snacks']	[['Organic Processed/Packaged'], ['Dried Fruit', 'Fruit Snacks', 'Nuts & Seeds']]
1451	Max's Imports	Booth: N2334	['Sterling Heights,', 'MI', 'United States']	N/A	N/A	[]	[]
1452	Maya Kaimal Foods	Booth: N1122	['Rhinebeck,', 'NY', 'United States']	Maya Kaimal is the leading source of crafted authentic Indian cuisine that presents the full vibrancy and range of Indian flavors in forms that delight modern palates. Maya, recipient of the Julia Child Cookbook Award, personally oversees the creation and curation of meals, snacks and sauces inspired by heirloom family recipes and prepared with the freshest of ingredients to capture traditional tastes in inspiring new forms.	Brands: Maya Kaimal	['Condiments & Sauces', 'Soups & Canned Goods', 'Special Attributes']	[['Condiments & Sauces', 'Marinades & Sauces'], ['Canned Soups'], ['Ethnic', 'Gluten/Wheat Free', 'Vegan']]
1453	Mayawell	Booth: N2314	['Austin,', 'TX', 'United States']	Mayawell is the FIRST to use organic hand- harvested agave for its powerful prebiotic benefits and utilizes the plant as both a sweetener and a source of prebiotic fiber, resulting in an ingredient goddess that is both low glycemic index and low in fructose.   Mayawell combines bold, refreshing flavors with functional ingredients with no refined sugar or stevia. Only 4g sugar, less than 40 calories, and packed with 5g gut-friendly prebiotics, our prebiotic sodas leave no funky aftertaste 	N/A	['Beverages']	[['Kombucha', 'Soda', 'Sparkling Water & Seltzer', 'Sports & Energy Drinks']]
1454	MEATER	Booth: 2469	['Los Angeles,', 'CA', 'United States']	N/A	N/A	[]	[]
1455	Meati	Booth: N722	['Boulder,', 'CO', 'United States']	Founded in 2017, Meati Foods is working to change the way we eat by democratizing access to delicious, nutrient-rich, complete protein in a way that protects and preserves our planet’s water, land and air. Eat Meati™ is the debut product line from Meati featuring whole-food cutlets and steaks made from mushroom root, created with modernized yet ancient and natural processes in a toxicity-free environment.	N/A	['Special Attributes', 'Meat Alternatives']	[['Allergy Free', 'Cruelty-Free', 'Dairy Free', 'Gluten/Wheat Free', 'Vegan', 'Egg Free', 'Kosher/Parve', 'Sustainability'], ['Plant-based Meat', 'Plant-based Poultry']]
1456	Medex Trade d.o.o	Booth: N1445	['Ljubljana,', 'Slovenia']	Medex, a Slovenian company, established in 1954 (from Slovene "med" - honey and "ex" export) is recently one of the leading European processors of honey and producers of food supplements based on bee products and natural products. Medex has always been a driving force behind the knowledge and development in beekeeping, both locally and globally. We are passionate about improving people’s lives with the innovative use of bee products.	Brands: Medex	['Supplements', 'Vitamins & Minerals']	[['Collagen', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements'], ["Children's Vitamins", 'Vitamins']]
1457	Medicap Laboratories	Booth: 3336	['Westland,', 'MI', 'United States']	N/A	N/A	[]	[]
1458	Mediterranean Harvests	Booth: 8307	['McLean,', 'VA', 'United States']	N/A	N/A	[]	[]
1459	Meelunie America	Booth: 5424	['Southfield,', 'MI', 'United States']	N/A	N/A	['Special Attributes']	[['Organic Ingredients']]
1460	MegaFood	Booth: 3755	['Manchester,', 'NH', 'United States']	MegaFood, Certified B Corporation and celebrating its 50th anniversary this year, expertly crafts nutrient-rich, planet-first vitamins and supplements made with real food. Driven by our belief that food grown from healthy soil is a solution to making people and the planet healthier, we work with trusted farm partners who share our commitment to organic and regenerative agriculture.  MegaFood products are: tested for 125+ pesticides, Non-GMO Project Verified & Certified Glyphosate Residue Free.	Brands: MegaFood®, MegaFood Baby & Me 2™,  MegaFood Blood Builder®,  MegaFood MegaFlora®, and Women's Ensemble™ by MegaFood®	['Special Attributes']	[['Organic Ingredients', 'Vegan']]
1461	MegaMex Foods LLC	Booth: N636	['Orange,', 'CA', 'United States']	N/A	N/A	[]	[]
1462	Mekhala Living Inc	Booth: N935	['Singapore,', 'Singapore']	At Mekhala, a Singapore/Thai brand, we are dedicated to creating a better life with Great, Wholesome and Sustainable Asian foods. Produced mindfully in small batches in the lush countryside of Chiang Mai, Thailand, our cooking pastes, sauce, dressings and plant-based starter packs are made with Clean & Natural Ingredients that are good for you and good for the planet. Mekhala is an equal opportunity company and is committed to empowering women and youths in our local communities.  	N/A	['Special Attributes', 'Condiments & Sauces', 'Seasonings & Spices']	[['Cruelty-Free', 'Dairy Free', 'Egg Free', 'Ethnic', 'Gluten/Wheat Free', 'Organic Processed/Packaged', 'Vegan'], ['Condiments & Sauces'], ['Wet Seasoning Mixes & Blends']]
1463	Mela Water	Booth: N2135	['Venice,', 'CA', 'United States']	N/A	N/A	['Beverages', 'Juice']	[['Fruit Flavored Drinks'], ['Fruit Juice']]
1464	Mellow	Booth: 5252	['Villers-Le-Bouillet,', 'Belgium']	N/A	N/A	[]	[]
1465	Melting Forest	Booth: 5719	['Corona,', 'CA', 'United States']	N/A	Brands: Melting Forest, Smoking Dog	['Beverages', 'Herbs & Functional Foods', 'Vitamins & Minerals']	[['Coffee', 'Flavored & Enhanced Water', 'Sparkling Water & Seltzer', 'Sports & Energy Drinks'], ['Herbs & Functional Foods'], ['Multivitamins', 'Vitamins']]
1466	MENISSEZ	Booth: 2698B	['FEIGNIES,', 'France']	Menissez is specialized in producing par baked bread packaged in protective atmosphere and frozen par baked bread. We essentially produce private-label bread for the main mass retail chains. Today our expertise, developed over the course of decades, meets the expectations of consumers worldwide. We have built our company’s reputation around the quality of our selected raw materials and finished products. Our products are guaranteed free from artificial coloring, GMO, added sugar.	N/A	['Bakery', 'Frozen', 'Special Attributes']	[['Bagels'], ['Frozen Breads & Dough'], ['Organic Ingredients', 'Trans Fat Free']]
1467	method	Booth: N1919	['San Francisco,', 'CA', 'United States']	happy, healthy homes are our mission. homes where potentially toxic chemicals don’t lurk beneath your sinks or lay in wait on your surfaces. homes where clean doesn’t come with eye-watering, breath-holding side effects. happy, healthy homes are the result of eliminating dirt with products formulated from naturally derived ingredients, safe for your family + furry companions.	Brands: Method, Ecover and babyganics	['Special Attributes']	[['Cruelty-Free']]
1468	Metshu Exports, (Pvt) Ltd.	Booth: 1424	['Daraluwa,', 'Sri Lanka']	 About us  Exporting to a prestigious clientele  Metshu Exports (Pvt) Ltd is one of the largest and leading organic food product manufacturers in Sri Lanka. We are currently exporting our products to in excess of 22 countries around the world, including some world’s largest supermarket chains. Furthermore, we have started marketing our products in the Middle East, and the response we have received is promising.  	Brands: As a prominent organic products manufacture in Srilanka we keen to maintain our own brand called "Metshu Super Food" and always support for private brands . Statically , at the moment we are supporting for more than 18 world wide brands .	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Vegan']]
1469	Mezcla	Booth: N212	['New York,', 'NY', 'United States']	Mezcla is mixing up the bland protein-based snacking category. Our first product, the Puff-Crispy, replaces the traditional slab-style protein bar with an innovative, crunchy texture developed from puffed pea protein. This elevated snack blends plant-based power with crave-worthy textures and flavors. This is only the beginning for us on this mission to create better-for-you snacking that prioritizes delivering invigorating flavors and textures. 	N/A	['Special Attributes']	[['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Vegan']]
1470	Mezete Food Production	Booth: N1602	['Amman,', 'Jordan']	N/A	N/A	[]	[]
1471	Mezzetta & Jeff’s Garden	Booth: 5028	['American Canyon,', 'CA', 'United States']	Jeff's Garden is the top selling line of olives, peppers, capers, artichokes and sun-dried tomatoes selling to the natural channel marketplace. Located in sunny California, we are still family owned and operated, enjoying long term relationships with family farms insuring the highest quality ingredients. Every jar carries one or more certifications of excellence: Kosher, Project non-GMO certified, USDA organic, Gluten Free and Vegan.	Brands: Mezzetta, Jeff's Garden	['Condiments & Sauces', 'Pasta Sauce & Noodles', 'Soups & Canned Goods', 'Special Attributes']	[['Condiments & Sauces', 'Olives', 'Pickles & Peppers'], ['Pasta Sauce'], ['Canned & Jarred Vegetables'], ['Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged', 'Vegan']]
1472	Mi Rancho	Booth: 8116	['Elk Grove,', 'CA', 'United States']	Mi Rancho is a family of passionate tortilla visionaries who combine old world quality and authenticity with new world innovation to produce the world's best tasting tortillas. Our modern baking techniques allow us to embrace our ancient family processes and recipes to bake products that can only be described as pure tortilla joy.	Brands: Mi Rancho	['Bakery', 'Special Attributes']	[['Bagels'], ['Ethnic', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Trans Fat Free', 'Vegan']]
1473	Michaels of Brooklyn	Booth: N609	['Brooklyn,', 'NY', 'United States']	N/A	N/A	['Condiments & Sauces']	[['Condiments & Sauces', 'Marinades & Sauces']]
1474	MICHE MIX	Booth: N633	['Laredo,', 'TX', 'United States']	N/A	N/A	[]	[]
1475	Michele's Granola	Booth: N2202	['Timonium,', 'MD', 'United States']	N/A	N/A	['Special Attributes', 'Breakfast', 'Condiments & Sauces']	[['Dairy Free', 'Gluten/Wheat Free', 'Organic Ingredients', 'Trans Fat Free', 'Vegan'], ['Cereal', 'Granola', 'Muesli'], ['Seed & Nut Butters']]
1476	Micro Ingredients	Booth: 3595	['Bellevue,', 'WA', 'United States']	N/A	Brands: Micro Ingredients®, Naturebell®, Deal Supplement®, Twinbest®	['Baking & Cooking Ingredients', 'Special Attributes', 'Supplements']	[['Sugar Substitutes & Sweeteners'], ['Gluten/Wheat Free', 'Organic Ingredients'], ['Amino Acids', 'Antioxidants', 'Collagen', 'Fitness & Weight Management', 'Omegas, Fish Oil & EFAs', 'Superfood & Greens Blends']]
1477	MicroDried	Booth: 5500	['NAMPA,', 'ID', 'United States']	Milne MicroDried’s organic fruit and vegetable ingredients are ideal for today’s plant-based era and vegan applications. Offering great natural taste, rich color and a clean label, MicroDried offers over 40 dried fruit and vegetable varieties including 17 organic products – all made with no added sugars, color or preservatives of any kind.    From apples to zucchini, MicroDried offers traditional to exotic dried fruit ingredients – blueberry and cherry to mango and pomegranate - and sweet to savory dried vegetables – sweet potatoes to kale and bell pepper.  These ingredients are high in dietary fiber, protein, vitamins and antioxidants, are naturally low in fat, sodium and cholesterol and are Non-GMO, gluten and allergen free.    These ingredients are available in organic and traditional powders, fragments and whole pieces that can be right-sized for a wide variety applications.  In addition, the moisture level, water activity and the texture can be controlled to meet customer specifications for consumer products.  Depending on the characteristics of the raw fruit or vegetable, most varieties are available in both chewy and crunchy textures.  MicroDried prides itself in meeting the industry’s strict quality and certification standards and is certified each year by AIB, BRC, the Orthodox Union (Kosher) and the Washington State Department of Agriculture in accordance with USDA organic regulations.  All ingredient products are made in the USA and are certified Ready-To-Eat. 	Brands: Milne MicroDried produces a wide variety of healthy, clean-label dried fruit and vegetable ingredients for food and beverage manufacturers world-wide.  We are committed to the highest domestic & international safety standards in the industry.	['Baby Food', 'Raw Ingredients', 'Special Attributes']	[['Baby Food Shelf'], ['Fruits & Vegetables'], ['Allergy Free', 'Convenience', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients']]
1478	MicroSalt Inc.	Booth: N1303	['West Palm Beach,', 'FL', 'United States']	SaltMe! Potato Chips is the first to the market brand that can achieve a real full flavor potato chip with 50% less sodium. The secret? MicroSalt(r): A salt nano-size particle patented technology that delivers an intense salt flavor with much less salt. SaltMe! Full Flavor Less Sodium potato chips are targeted for the consumer that loves their chips but is not willing to sacrifice on flavor and is conscious of their health. Available in 4 best selling flavor: Original, BBQ, SC&O and Ched&SC.	Brands: SaltMe! Full Flavor Less Sodium Potato Chips MicroSalt	['Special Attributes']	[['Gluten/Wheat Free', 'Kosher/Parve', 'Salt-Free']]
1479	MicroThermics, Inc.	Booth: 348	['Raleigh,', 'NC', 'United States']	N/A	Brands: MicroThermics® UHT/HTST Processors -steam injection, indirect heating, microwave heating and more!  MicroThermics® Miniature Plant Trial Services  -production quality samples in our lab!  AseptiLab™ Ultra-Clean Fill Hoods, Niro Homogenizers ['Services']	[['Consulting', 'Contract Manufacturing']]
1480	Mid-Day Squares	Booth: 5789	['Montreal,', 'QC', 'Canada']	N/A	N/A	['Special Attributes']	[['Convenience', 'Dairy Free', 'Functional Food', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev', 'Organic Ingredients', 'Organic Processed/Packaged', 'Vegan']]
1481	Midlands Apiaries	Booth: N2226	['Ashburton,', 'New Zealand']	Midlands Apiaries is the largest privately held producer of world class, UMFTM certified Manuka honey, with over 100 years of experience in the Honey business. We have state of the art facilities and full vertical integration for better Quality Control, value and on time deliveries. We offer a full line of both branded and private label go to market, honey solutions that are sustainable with comprehensive traceability, harvested, produced, tested, packaged and certified in New Zealand	Brands: PURITI, Mount Somers, Primal By Nature & Private Label Available	[]	[]
1482	Mighty Sesame Co.	Booth: N2002, N2118, N2121	['Bayonne,', 'NJ', 'United States']	Established in 2017, Mighty Sesame Co.® emerged as a trailblazer in the culinary world, introducing a rich brand history centered around sustainability and clean products backed from the partner company Rushdi Industries, based in Israel. With a pioneering spirit, Mighty Sesame recognized the potential to elevate tahini by launching the first-ever squeeze bottle packaging for tahini, simplifying usage and minimizing waste. 	Brands: Mighty Sesame Co - Organic Tahini - Whole Seed Tahini - Harissa Tahini - Classic Tahini Available in bulk and retail	['Special Attributes', 'Condiments & Sauces']	[['Kosher/Parve', 'Organic Food & Bev', 'Specialty/Gourmet', 'Vegan', 'Low Carb'], ['Salad Dressings', 'Condiments & Sauces', 'Seed & Nut Butters']]
1483	Mighty Spark Food Co.	Booth: N539	['Minneapolis,', 'MN', 'United States']	Fresh, pre-seasoned poultry and meat snacking brand including All-Natural Chicken & Turkey Patties & Ground, as well as Chicken Snack Sticks.  Tastes like you were in the kitchen all day. Mighty Spark is pre-seasoned with premium ingredients for remarkable flavor on the table in record time.	Brands: Mighty Spark	['Meat & Seafood']	[['Poultry']]
1484	Mightylicious Inc	Booth: N2336	['Wood-Ridge,', 'NJ', 'United States']	N/A	Brands: Mighylicious	[]	[]
1485	MiLa	Booth: 5190	['Bellevue,', 'WA', 'United States']	N/A	N/A	['Frozen']	[['Frozen Appetizers & Side Dishes', 'Frozen Entrées']]
1486	Milhans Foods Corporation	Booth: 5731	['Pittsburgh,', 'PA', 'United States']	At Otto® Nuts, we are the providers of nature's finest dried fruits and nuts. Our direct connections to local orchards & farmers enable us to deliver the freshest, sustainable, premium quality products.   Our products always 100% plant-based, non-GMO and vegan certified.  We believe everyone should be able to "Eat naturally, live well!"	Brands: Otto® Nuts, Otto® Dried Fruits, Otto® Mediterranean Trail Mixes, Otto® Granola Bites, List Nuts, List Flavours	['Special Attributes', 'Snacks']	[['Gluten/Wheat Free', 'Low Carb', 'Organic Processed/Packaged', 'Salt-Free', 'Vegan'], ['Cereal & Granola Bars', 'Nuts & Seeds', 'Trail Mix & Snack Mixes']]
